participant_id	session_id	eeg_made_task-VEP_acq-eeg_preprocessingReport_task	eeg_made_task-VEP_acq-eeg_preprocessingReport_line_noise	eeg_made_task-VEP_acq-eeg_preprocessingReport_reference_for_faster	eeg_made_task-VEP_acq-eeg_preprocessingReport_faster_bad_channels	eeg_made_task-VEP_acq-eeg_preprocessingReport_ica_prep_bad_channels	eeg_made_task-VEP_acq-eeg_preprocessingReport_length_ica_data	eeg_made_task-VEP_acq-eeg_preprocessingReport_total_ICs	eeg_made_task-VEP_acq-eeg_preprocessingReport_ICs_removed	eeg_made_task-VEP_acq-eeg_preprocessingReport_total_epochs_pre_artifact_rej	eeg_made_task-VEP_acq-eeg_preprocessingReport_total_epochs_post_artifact_rej	eeg_made_task-VEP_acq-eeg_preprocessingReport_FACE_UpInv	eeg_made_task-VEP_acq-eeg_preprocessingReport_FACE_Inv	eeg_made_task-VEP_acq-eeg_preprocessingReport_FACE_Obj	eeg_made_task-VEP_acq-eeg_preprocessingReport_FACE_UpObj	eeg_made_task-VEP_acq-eeg_preprocessingReport_MMN_Standard	eeg_made_task-VEP_acq-eeg_preprocessingReport_MMN_PreDev	eeg_made_task-VEP_acq-eeg_preprocessingReport_MMN_Dev	eeg_made_task-VEP_acq-eeg_preprocessingReport_total_channels_interp	eeg_made_task-VEP_acq-eeg_preprocessingReport_avg_chan_interp_artifact_rej	eeg_made_task-VEP_acq-eeg_preprocessingReport_std_chan_interp_artifact_rej	eeg_made_task-VEP_acq-eeg_preprocessingReport_range_chan_interp_artifact_rej
437500	V03	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
856295	V03	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
935398	V03	VEP	0.9983494	Cz	"E10 E33 E34 E60 E65 E74 E77 E82 E84 E108 E109 E111 E112"	0	1158	91	"22  23  28  34  41  43  51  62  78  79"	120	74	n/a	n/a	n/a	n/a	n/a	n/a	n/a	13	3.54054054054054	2.49486699999199	9
573084	V03	VEP	0.9716246	Cz	"E8 E25 E32"	0	1136	101	"5   7  12  13  23  27  37  39  40  42  46  53  54  61  62  64  67  78  88  94  98"	120	103	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3	0.203883495145631	0.973765918855717	9
558533	V03	VEP	0.8906072	Cz	"E54 E86 E118 E124"	0	1765	100	83	120	93	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4	0.376344086021505	0.871205792274029	5
970270	V03	VEP	0.9779891	Cz	"E14 E21 E41"	0	1118	101	"3  17  20  23  24  29  32  34  38  42  46  49  99"	120	100	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3	2.65	3.13782720938544	10
412079	V03	VEP	0.8572735	Cz	"E25 E29 E60 E65 E85"	0	908	99	"3   4   5   7   9  10  14  18  24  34  39  41  45  65  81  96"	120	114	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5	0.93859649122807	1.80601300340921	10
184697	V03	VEP	0.9495884	Cz	E96	0	1907	103	"1   2   6   8  11  21  24  26  38  47  57  62  68  74  80  92  96"	120	92	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	0.869565217391304	1.96797095989668	8
182286	V03	VEP	0.9973793	Cz	"E14 E29 E35"	0	1264	101	"14  36  37  40  45  54  56  66  73  84"	120	111	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3	0.72972972972973	1.70531759743108	10
547679	V03	VEP	0.9831319	Cz	"E75 E87"	0	996	102	"5  14  16  17  22  23  25  33  47  48  52  75  77  79  82  89  93"	120	113	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2	1.46902654867257	2.05318044428367	10
629348	V03	VEP	0.9524723	Cz	"E14 E27 E106"	0	1250	101	"1   7  13  15  39  41  50  57  67  72  74  90"	120	110	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3	0.618181818181818	1.31317821747813	9
862902	V03	VEP	0.9953228	Cz	"E3 E69 E75"	0	1266	101	"13  14  23  41  42  49  52  56  58  97  99"	120	92	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3	1.67391304347826	2.29719702902421	9
337220	V03	VEP	0.9133517	Cz	"E108 E115 E117 E122"	0	873	100	"27   29   57   59   65   68   80   98  100"	120	95	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4	0.936842105263158	1.66190435700293	7
478862	V03	VEP	0.974049	Cz	"E21 E57 E75"	0	1023	101	"3    5    6    9   10   14   15   16   18   20   21   22   25   28   34   36   46   50   56   61   63   69   72   80   91   97  101"	120	80	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3	2.0875	2.50666832188652	10
738998	V03	VEP	0.9642753	Cz	"E8 E65 E66 E70"	0	909	100	"3   5   7   8  11  13  17  19  20  21  23  27  29  30  34  35  37  38  42  44  46  48  56  58  66  75  77  83  96"	120	107	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4	2.14953271028037	2.33837444875691	10
139276	V03	VEP	0.9991179	Cz	"E3 E25 E110"	0	1168	101	"4   5   9  12  13  17  19  28  29  31  44"	120	100	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3	1.46	2.24921984229864	10
949008	V03	VEP	0.8941857	Cz	"E2 E9 E16 E30"	0	1350	100	"1   5   9  11  16  17  18  20  21  23  25  26  27  28  31  34  35  38  39  44  48  49  53  61  66  70  73  76  78  87  92  94  97"	120	117	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4	1.05128205128205	1.74121516152565	10
759042	V03	VEP	0.2043238	Cz	"E6 E25 E70 E74"	0	1823	100	"9  10  11  13  14  17  18  19  20  21  22  23  26  28  30  32  33  35  36  45  61  72  75"	120	109	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4	1.14678899082569	1.92366205583592	9
747944	V03	VEP	0.9248843	Cz	"E9 E22 E39 E54 E58"	0	1281	99	"6   8  12  13  16  17  20  22  23  25  26  29  36  38  39  41  48  49  50  51  55  56  57  59  60  61  63  64  65  66  67  69  71  75  81  84  89  99"	120	111	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5	1.22522522522523	2.01667901932714	10
287717	V03	VEP	0.9107179	Cz	"E59 E83"	0	912	102	"5   6   7   9  13  14  15  19  22  23  26  27  30  32  36  37  38  39  40  44  47  52  83  87  93  94"	120	110	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2	0.654545454545455	1.78390543438613	10
236907	V03	VEP	0.9543666	Cz	"E31 E54 E70"	0	2366	101	"6  11  28"	120	57	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3	1.50877192982456	1.453110051598	6
291742	V03	VEP	0.3570373	Cz	"E33 E39 E45"	0	809	101	"15  21  22  23  26  29  31  35  39  41  58  62  66  67  74  81  87"	120	86	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3	1.59302325581395	1.99633727538707	9
317067	V03	VEP	0.9911091	Cz	"E2 E5 E7 E55 E74 E83 E91"	0	1382	97	"5  12  19  23  25  28  39  44  48  55  57  78  91"	120	80	n/a	n/a	n/a	n/a	n/a	n/a	n/a	7	1.7375	2.26555802498125	10
883146	V03	VEP	0.9879121	Cz	E78	0	1289	103	"17  53  64  82  94"	120	64	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	1.25	2.11570094204982	9
832992	V03	VEP	0.02981684	Cz	"E8 E45 E46 E103 E109 E111"	0	1448	98	"3   8  16  22  28  32  34  37  39  41  45  47  49  50  53  63  65  71  88"	120	118	n/a	n/a	n/a	n/a	n/a	n/a	n/a	6	0.0508474576271186	0.388894062588461	4
234939	V03	VEP	0.9262726	Cz	"E12 E70 E74 E111"	0	1231	100	"1   2   7   9  10  12  13  14  16  17  18  21  22  27  33  34  40  41  43  45  52  84  88"	120	120	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4	0.641666666666667	1.44824340619436	10
960530	V03	VEP	0.9351934	Cz	"E3 E9"	0	1303	102	"2    7   17   18   21   29   31   41   45   64   70  101"	120	103	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2	1	1.97036873228756	10
509319	V03	VEP	0.9987198	Cz	"E8 E26 E90"	0	1379	101	"2    7   11   12   13   14   18   21   22   24   28   31   32   39   46   47   49   53   55   64   65   67   81   87   89   93   97   98  101"	120	90	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3	1	1.46877614726905	6
107528	V03	VEP	0.9685974	Cz	E96	0	1337	103	"1   5   6   7  11  13  16  17  19  22  26  29  30  32  35  37  38  43  46  48  62  73  93"	120	115	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1	1.36521739130435	2.08305795281423	10
308459	V03	VEP	0.6359105	Cz	"E14 E25 E32"	0	1336	101	"3  13  20  21  27  29  40  47  49  51  56  60  67  77  81"	120	69	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3	0.710144927536232	1.47629752775375	8
709689	V03	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
267232	V03	VEP	0.5915961	Cz	"E79 E92 E93 E110"	0	829	100	"2   9  11  15  16  21  39  48  54  55  69  79"	120	103	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4	1.37864077669903	2.24532850495951	10
459735	V03	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
396706	V03	VEP	0.8094388	Cz	"E25 E82 E112"	0	1252	101	"12  13  16  17  21  23  28  29  30  34  38  42  44  62  80"	120	86	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3	1.12790697674419	1.87739814717326	10
709356	V03	VEP	0.01917183	Cz	"E2 E30 E32"	0	1246	101	"3  10  20  23  35  56"	120	111	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3	0.117117117117117	0.441870790220168	3
320966	V03	VEP	0.7344103	Cz	"E4 E5 E25 E52 E80"	0	1249	99	"5   6  12  13  15  23  30  34  41  42  44  51  52  55  57  65  66  70  76  78  84  91  92"	120	111	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5	0.828828828828829	1.88232870220941	8
