participant_id	session_id	run_id	qc_pass_fail	capping_quality	total_epochs_post_artifact_rej
935398	V03	n/a	Pass	Average	342
558533	V03	n/a	Fail	Average	60
184697	V03	n/a	Pass	Average	306
970270	V03	n/a	Pass	Average	299
182286	V03	n/a	Fail	Average	71
759042	V03	n/a	Pass	Average	308
862902	V03	n/a	Pass	Average	213
139276	V03	n/a	Pass	Average	307
547679	V03	n/a	Pass	Average	262
949008	V03	n/a	Pass	Average	356
738998	V03	n/a	Pass	Excellent	259
883146	V03	n/a	Pass	Average	142
747944	V03	n/a	Pass	Average	357
287717	V03	n/a	Pass	Excellent	341
317067	V03	n/a	Pass	Excellent	241
628690	V03	n/a	Pass	Excellent	353
960530	V03	n/a	Pass	Excellent	276
236907	V03	n/a	Fail	Excellent	57
308459	V03	n/a	Pass	Excellent	360
267232	V03	n/a	Pass	Average	343
709689	V03	n/a	Pass	Excellent	302
893334	V03	n/a	Pass	Excellent	303
396706	V03	n/a	Pass	Excellent	300
709356	V03	n/a	Pass	Average	288
234939	V03	n/a	Pass	Excellent	360
320966	V03	n/a	Pass	Poor	291
523233	V03	n/a	Pass	Poor	251
213769	V03	n/a	Pass	Average	264
459735	V03	n/a	Pass	Average	318
478862	V03	n/a	Pass	Average	175
685003	V03	n/a	Pass	Average	320
892487	V03	n/a	Pass	Average	339
882923	V03	n/a	Pass	Average	283
210317	V03	n/a	Pass	Average	323
291742	V03	n/a	Fail	Unusable	330
170499	V03	n/a	Pass	Average	261
197396	V03	n/a	Pass	Average	235
591303	V03	n/a	Pass	Poor	159
493805	V03	n/a	Fail	Unusable	249
281057	V03	n/a	Pass	Average	334
499474	V03	n/a	Pass	Average	308
654077	V03	n/a	Pass	Excellent	319
284508	V03	n/a	Pass	Excellent	249
315493	V03	n/a	Pass	Excellent	258
674793	V03	n/a	Pass	Average	354
515059	V03	n/a	Fail	Unusable	239
233710	V03	n/a	Pass	Average	293
307949	V03	n/a	Pass	Excellent	130
179272	V03	n/a	Pass	Average	354
957523	V03	n/a	Fail	Unusable	330
979675	V03	n/a	Pass	Average	289
255490	V03	n/a	Pass	Average	294
164209	V03	n/a	Pass	Excellent	301
298081	V03	n/a	Fail	Unusable	332
317304	V03	01	Pass	Poor	256
317304	V03	02	Pass	Poor	291
117774	V03	n/a	Pass	Poor	335
553112	V03	n/a	Pass	Average	250
800605	V03	01	Pass	Average	256
800605	V03	02	Pass	Average	167
620027	V03	n/a	Pass	Average	305
231265	V03	n/a	Pass	Average	317
645664	V03	n/a	Pass	Average	191
888706	V03	n/a	Pass	Average	207
832992	V03	n/a	Pass	Average	359
107528	V03	n/a	Pass	Excellent	351
573084	V03	n/a	Pass	Excellent	156
791024	V03	n/a	Fail	Unusable	235
629348	V03	n/a	Pass	Average	296
897527	V03	n/a	Pass	Average	243
626805	V03	01	Fail	Average	75
626805	V03	02	Pass	Average	242
865345	V03	n/a	Pass	Average	303
548802	V03	n/a	Pass	Excellent	340
410701	V03	n/a	Pass	Average	323
719200	V03	n/a	Fail	Excellent	61
860562	V03	n/a	Pass	Excellent	247
478219	V03	n/a	Pass	Average	280
698909	V03	n/a	Pass	Excellent	343
780192	V03	01	Pass	Excellent	216
780192	V03	02	Fail	Excellent	57
707696	V03	n/a	Pass	Excellent	250
287950	V03	n/a	Pass	Average	355
298523	V03	n/a	Pass	Average	211
