KEYNAME,name,Description,Units,type_var,type_data,order_sort
img_brainswipes_xcp_d-bold_T1wOnTaskBrainSwipes_bold_mean,img_brainswipes_xcp_d-bold_T1wOnTaskBrainSwipes_bold_mean,Mean QC score for functional registration (overlay of subject's T1w onto BOLD). Derived from average scores of 0 (Fail) and 1 (Pass) (or NA if QC was not performed),percentage,score,float,0
img_brainswipes_xcp_d-bold_T1wOnTaskBrainSwipes_bold_nrev,img_brainswipes_xcp_d-bold_T1wOnTaskBrainSwipes_bold_nrev,Number of reviewers for  functional registration (overlay of subject's T1w onto BOLD),n/a,count,integer,1
img_brainswipes_xcp_d-bold_T1wOnTaskBrainSwipes_bold_QC,img_brainswipes_xcp_d-bold_T1wOnTaskBrainSwipes_bold_QC,"Final T1w functional registration QC score of 0 (Fail) or 1 (Pass) based on a mean QC threshold of 0.7, or NA if nrev < 10",n/a,score,integer,2
img_brainswipes_xcp_d-bold_T2wOnTaskBrainSwipes_bold_mean,img_brainswipes_xcp_d-bold_T2wOnTaskBrainSwipes_bold_mean,Mean QC score for functional registration (overlay of subject's T2w onto BOLD). Derived from average scores of 0 (Fail) and 1 (Pass) (or NA if QC was not performed),percentage,score,float,3
img_brainswipes_xcp_d-bold_T2wOnTaskBrainSwipes_bold_nrev,img_brainswipes_xcp_d-bold_T2wOnTaskBrainSwipes_bold_nrev,Number of reviewers for  functional registration (overlay of subject's T2w onto BOLD),n/a,count,integer,4
img_brainswipes_xcp_d-bold_T2wOnTaskBrainSwipes_bold_QC,img_brainswipes_xcp_d-bold_T2wOnTaskBrainSwipes_bold_QC,"Final T2w functional registration QC score of 0 (Fail) or 1 (Pass) based on a mean QC threshold of 0.7, or NA if nrev < 10",n/a,score,integer,5
img_brainswipes_xcp_d-bold_TaskOnT1wBrainSwipes_bold_mean,img_brainswipes_xcp_d-bold_TaskOnT1wBrainSwipes_bold_mean,Mean QC score for functional registration (overlay of subject's BOLD onto T1w). Derived from average scores of 0 (Fail) and 1 (Pass) (or NA if QC was not performed),percentage,score,float,6
img_brainswipes_xcp_d-bold_TaskOnT1wBrainSwipes_bold_nrev,img_brainswipes_xcp_d-bold_TaskOnT1wBrainSwipes_bold_nrev,Number of reviewers for  functional registration (overlay of subject's BOLD onto T1w),n/a,count,integer,7
img_brainswipes_xcp_d-bold_TaskOnT1wBrainSwipes_bold_QC,img_brainswipes_xcp_d-bold_TaskOnT1wBrainSwipes_bold_QC,"Final T1w functional registration QC score of 0 (Fail) or 1 (Pass) based on a mean QC threshold of 0.7, or NA if nrev < 10",n/a,score,integer,8
img_brainswipes_xcp_d-bold_TaskOnT2wBrainSwipes_bold_mean,img_brainswipes_xcp_d-bold_TaskOnT2wBrainSwipes_bold_mean,Mean QC score for functional registration (overlay of subject's BOLD onto T2w). Derived from average scores of 0 (Fail) and 1 (Pass) (or NA if QC was not performed),percentage,score,float,9
img_brainswipes_xcp_d-bold_TaskOnT2wBrainSwipes_bold_nrev,img_brainswipes_xcp_d-bold_TaskOnT2wBrainSwipes_bold_nrev,Number of reviewers for  functional registration (overlay of subject's BOLD onto T2w),n/a,count,integer,10
img_brainswipes_xcp_d-bold_TaskOnT2wBrainSwipes_bold_QC,img_brainswipes_xcp_d-bold_TaskOnT2wBrainSwipes_bold_QC,"Final T2w functional registration QC score of 0 (Fail) or 1 (Pass) based on a mean QC threshold of 0.7, or NA if nrev < 10",n/a,score,integer,11
img_brainswipes_xcp_d-bold_QC_T1w,img_brainswipes_xcp_d-bold_QC_T1w,"Final QC score for T1w BOLD registration, derived from all T1wOnTask and TaskOnT1w QC fields, of 0 (Fail) if any failed QC, 1 (Pass) if all passed QC, or NA if any are NA due to incomplete number of reviews required",n/a,score,integer,12
img_brainswipes_xcp_d-bold_QC_T2w,img_brainswipes_xcp_d-bold_QC_T2w,"Final QC score for T2w BOLD registration, derived from all T1wOnTask and TaskOnT1w QC fields, of 0 (Fail) if any failed QC, 1 (Pass) if all passed QC, or NA if any are NA due to incomplete number of reviews required",n/a,score,integer,13
