KEYNAME,name,Description,Units,type_var,type_data,order_sort
img_brainswipes_qsiprep-dwi_res-anat_qcgif-AnteriorCoronal_mean,img_brainswipes_qsiprep-dwi_res-anat_qcgif-AnteriorCoronal_mean,Mean QC score for direction encoding in anterior coronal plane. Derived from average scores of 0 (Fail) and 1 (Pass) (or NA if QC was not performed),percentage,score,float,0
img_brainswipes_qsiprep-dwi_res-anat_qcgif-AnteriorCoronal_nrev,img_brainswipes_qsiprep-dwi_res-anat_qcgif-AnteriorCoronal_nrev,Number of reviewers for direction encoding in anterior coronal plane,n/a,count,integer,1
img_brainswipes_qsiprep-dwi_res-anat_qcgif-AnteriorCoronal_QC,img_brainswipes_qsiprep-dwi_res-anat_qcgif-AnteriorCoronal_QC,"Final QC score for direction encoding in anterior coronal plane of 0 (Fail) or 1 (Pass) based on a mean QC threshold of 0.7, or NA if nrev < 10",n/a,score,integer,2
img_brainswipes_qsiprep-dwi_res-anat_qcgif-CerebellumAxial_mean,img_brainswipes_qsiprep-dwi_res-anat_qcgif-CerebellumAxial_mean,Mean QC score for direction encoding in cerebellum axial plane. Derived from average scores of 0 (Fail) and 1 (Pass) (or NA if QC was not performed),percentage,score,float,3
img_brainswipes_qsiprep-dwi_res-anat_qcgif-CerebellumAxial_nrev,img_brainswipes_qsiprep-dwi_res-anat_qcgif-CerebellumAxial_nrev,Number of reviewers for direction encoding in cerebellum axial plane,n/a,count,integer,4
img_brainswipes_qsiprep-dwi_res-anat_qcgif-CerebellumAxial_QC,img_brainswipes_qsiprep-dwi_res-anat_qcgif-CerebellumAxial_QC,"Final QC score for direction encoding in cerebellum axial plane of 0 (Fail) or 1 (Pass) based on a mean QC threshold of 0.7, or NA if nrev < 10",n/a,score,integer,5
img_brainswipes_qsiprep-dwi_res-anat_qcgif-LeftBrainStemSagittal_mean,img_brainswipes_qsiprep-dwi_res-anat_qcgif-LeftBrainStemSagittal_mean,Mean QC score for direction encoding in left brainstem sagittal plane. Derived from average scores of 0 (Fail) and 1 (Pass) (or NA if QC was not performed),percentage,score,float,6
img_brainswipes_qsiprep-dwi_res-anat_qcgif-LeftBrainStemSagittal_nrev,img_brainswipes_qsiprep-dwi_res-anat_qcgif-LeftBrainStemSagittal_nrev,Number of reviewers for direction encoding in left brainstem sagittal plane,n/a,count,integer,7
img_brainswipes_qsiprep-dwi_res-anat_qcgif-LeftBrainStemSagittal_QC,img_brainswipes_qsiprep-dwi_res-anat_qcgif-LeftBrainStemSagittal_QC,"Final QC score for direction encoding in left brainstem sagittal plane of 0 (Fail) or 1 (Pass) based on a mean QC threshold of 0.7, or NA if nrev < 10",n/a,score,integer,8
img_brainswipes_qsiprep-dwi_res-anat_qcgif-LeftTemporalSagittal_mean,img_brainswipes_qsiprep-dwi_res-anat_qcgif-LeftTemporalSagittal_mean,Mean QC score for direction encoding in left temporal sagittal plane. Derived from average scores of 0 (Fail) and 1 (Pass) (or NA if QC was not performed),percentage,score,float,9
img_brainswipes_qsiprep-dwi_res-anat_qcgif-LeftTemporalSagittal_nrev,img_brainswipes_qsiprep-dwi_res-anat_qcgif-LeftTemporalSagittal_nrev,Number of reviewers for direction encoding in left temporal sagittal plane,n/a,count,integer,10
img_brainswipes_qsiprep-dwi_res-anat_qcgif-LeftTemporalSagittal_QC,img_brainswipes_qsiprep-dwi_res-anat_qcgif-LeftTemporalSagittal_QC,"Final QC score for direction encoding in left temporal sagittal plane of 0 (Fail) or 1 (Pass) based on a mean QC threshold of 0.7, or NA if nrev < 10",n/a,score,integer,11
img_brainswipes_qsiprep-dwi_res-anat_qcgif-RightTemporalSagittal_mean,img_brainswipes_qsiprep-dwi_res-anat_qcgif-RightTemporalSagittal_mean,Mean QC score for direction encoding in right temporal sagittal plane. Derived from average scores of 0 (Fail) and 1 (Pass) (or NA if QC was not performed),percentage,score,float,12
img_brainswipes_qsiprep-dwi_res-anat_qcgif-RightTemporalSagittal_nrev,img_brainswipes_qsiprep-dwi_res-anat_qcgif-RightTemporalSagittal_nrev,Number of reviewers for direction encoding in right temporal sagittal plane,n/a,count,integer,13
img_brainswipes_qsiprep-dwi_res-anat_qcgif-RightTemporalSagittal_QC,img_brainswipes_qsiprep-dwi_res-anat_qcgif-RightTemporalSagittal_QC,"Final QC score for direction encoding in right temporal sagittal plane of 0 (Fail) or 1 (Pass) based on a mean QC threshold of 0.7, or NA if nrev < 10",n/a,score,integer,14
img_brainswipes_qsiprep-dwi_res-anat_qcgif-PosteriorCoronal_mean,img_brainswipes_qsiprep-dwi_res-anat_qcgif-PosteriorCoronal_mean,Mean QC score for direction encoding in posterior coronal plane. Derived from average scores of 0 (Fail) and 1 (Pass) (or NA if QC was not performed),percentage,score,float,15
img_brainswipes_qsiprep-dwi_res-anat_qcgif-PosteriorCoronal_nrev,img_brainswipes_qsiprep-dwi_res-anat_qcgif-PosteriorCoronal_nrev,Number of reviewers for direction encoding in posterior coronal plane,n/a,count,integer,16
img_brainswipes_qsiprep-dwi_res-anat_qcgif-PosteriorCoronal_QC,img_brainswipes_qsiprep-dwi_res-anat_qcgif-PosteriorCoronal_QC,"Final QC score for direction encoding in posterior coronal plane of 0 (Fail) or 1 (Pass) based on a mean QC threshold of 0.7, or NA if nrev < 10",n/a,score,integer,17
img_brainswipes_qsiprep-dwi_res-anat_qcgif-SemiovaleAxial_mean,img_brainswipes_qsiprep-dwi_res-anat_qcgif-SemiovaleAxial_mean,Mean QC score for direction encoding in semiovale axial plane. Derived from average scores of 0 (Fail) and 1 (Pass) (or NA if QC was not performed),percentage,score,float,18
img_brainswipes_qsiprep-dwi_res-anat_qcgif-SemiovaleAxial_nrev,img_brainswipes_qsiprep-dwi_res-anat_qcgif-SemiovaleAxial_nrev,Number of reviewers for direction encoding in semiovale axial plane,n/a,count,integer,19
img_brainswipes_qsiprep-dwi_res-anat_qcgif-SemiovaleAxial_QC,img_brainswipes_qsiprep-dwi_res-anat_qcgif-SemiovaleAxial_QC,"Final QC score for direction encoding in semiovale axial plane of 0 (Fail) or 1 (Pass) based on a mean QC threshold of 0.7, or NA if nrev < 10",n/a,score,integer,20
img_brainswipes_qsiprep-dwi_QC,img_brainswipes_qsiprep-dwi_QC,"Final QC score for direction encoding, derived all QC fields, of 0 (Fail) if any failed QC, 1 (Pass) if all passed QC, or NA if any are NA due to incomplete number of reviews required",n/a,score,integer,21
