sample,aveVote,count
sub-011228_ses-15mo_T1-Axial-BasalGangila-Putamen,1,4
sub-011228_ses-15mo_T1-Axial-SuperiorFrontal,0.25,4
sub-011228_ses-15mo_T1-Coronal-Caudate-Amygdala,0.6,5
sub-011228_ses-15mo_T1-Coronal-OrbitoFrontal,0.25,4
sub-011228_ses-15mo_T1-Coronal-PosteriorParietal-Lingual,0.5,4
sub-011228_ses-15mo_T1-Sagittal-CorpusCallosum,0.25,4
sub-011228_ses-15mo_T1-Sagittal-Insula-FrontoTemporal,0.4,5
sub-011228_ses-15mo_T1-Sagittal-Insula-Temporal-HippocampalSulcus,0.75,4
sub-011228_ses-15mo_T2-Axial-BasalGangila-Putamen,1,4
sub-011228_ses-15mo_T2-Axial-SuperiorFrontal,0.5,4
sub-011228_ses-15mo_T2-Coronal-Caudate-Amygdala,0.25,4
sub-011228_ses-15mo_T2-Coronal-OrbitoFrontal,1,4
sub-011228_ses-15mo_T2-Sagittal-CorpusCallosum,0.6,5
sub-011228_ses-15mo_T2-Sagittal-Insula-FrontoTemporal,0.75,4
sub-011228_ses-15mo_T2-Sagittal-Insula-Temporal-HippocampalSulcus,1,4
sub-011228_ses-15mo_desc-AtlasInT1w,1,4
sub-011228_ses-15mo_desc-T1wInAtlas,0.25,4
sub-011228_ses-15mo_task-rest_run-01_desc-T1InTask,1,4
sub-011228_ses-15mo_task-rest_run-01_desc-T2InTask,1,4
sub-011228_ses-15mo_task-rest_run-01_desc-TaskInT1,0.8,5
sub-011228_ses-15mo_task-rest_run-01_desc-TaskInT2,1,4
sub-011228_ses-15mo_task-rest_run-02_desc-T1InTask,1,4
sub-011228_ses-15mo_task-rest_run-02_desc-T2InTask,1,4
sub-011228_ses-15mo_task-rest_run-02_desc-TaskInT1,1,4
sub-011228_ses-15mo_task-rest_run-02_desc-TaskInT2,1,4
sub-011228_ses-18mo_T1-Axial-BasalGangila-Putamen,1,4
sub-011228_ses-18mo_T1-Axial-SuperiorFrontal,0.2,5
sub-011228_ses-18mo_T1-Coronal-Caudate-Amygdala,0.5,4
sub-011228_ses-18mo_T1-Coronal-OrbitoFrontal,1,4
sub-011228_ses-18mo_T1-Coronal-PosteriorParietal-Lingual,0.6,5
sub-011228_ses-18mo_T1-Sagittal-CorpusCallosum,0.75,4
sub-011228_ses-18mo_T1-Sagittal-Insula-FrontoTemporal,0.5,4
sub-011228_ses-18mo_T1-Sagittal-Insula-Temporal-HippocampalSulcus,1,4
sub-011228_ses-18mo_T2-Axial-BasalGangila-Putamen,1,4
sub-011228_ses-18mo_T2-Axial-SuperiorFrontal,1,4
sub-011228_ses-18mo_T2-Coronal-Caudate-Amygdala,1,4
sub-011228_ses-18mo_T2-Coronal-OrbitoFrontal,1,4
sub-011228_ses-18mo_T2-Sagittal-CorpusCallosum,1,4
sub-011228_ses-18mo_T2-Sagittal-Insula-FrontoTemporal,0.75,4
sub-011228_ses-18mo_T2-Sagittal-Insula-Temporal-HippocampalSulcus,1,4
sub-011228_ses-18mo_desc-AtlasInT1w,1,4
sub-011228_ses-18mo_desc-T1wInAtlas,1,4
sub-011228_ses-18mo_task-rest_run-01_desc-T1InTask,1,4
sub-011228_ses-18mo_task-rest_run-01_desc-T2InTask,1,4
sub-011228_ses-18mo_task-rest_run-01_desc-TaskInT1,0.75,4
sub-011228_ses-18mo_task-rest_run-01_desc-TaskInT2,1,4
sub-011228_ses-18mo_task-rest_run-02_desc-T1InTask,1,4
sub-011228_ses-18mo_task-rest_run-02_desc-T2InTask,1,4
sub-011228_ses-18mo_task-rest_run-02_desc-TaskInT1,0.8,5
sub-011228_ses-18mo_task-rest_run-02_desc-TaskInT2,1,4
sub-011228_ses-18mo_task-rest_run-03_desc-T1InTask,1,5
sub-011228_ses-18mo_task-rest_run-03_desc-T2InTask,1,4
sub-011228_ses-18mo_task-rest_run-03_desc-TaskInT1,1,4
sub-011228_ses-18mo_task-rest_run-03_desc-TaskInT2,1,4
sub-011228_ses-18mo_task-rest_run-04_desc-T1InTask,1,4
sub-011228_ses-18mo_task-rest_run-04_desc-T2InTask,1,5
sub-011228_ses-18mo_task-rest_run-04_desc-TaskInT1,1,4
sub-011228_ses-18mo_task-rest_run-04_desc-TaskInT2,1,4
sub-011228_ses-21mo_T1-Axial-BasalGangila-Putamen,1,4
sub-011228_ses-21mo_T1-Axial-SuperiorFrontal,0.5,4
sub-011228_ses-21mo_T1-Coronal-Caudate-Amygdala,0.6,5
sub-011228_ses-21mo_T1-Coronal-OrbitoFrontal,1,4
sub-011228_ses-21mo_T1-Coronal-PosteriorParietal-Lingual,1,5
